PG300;9180;00;4035892000001;23816614104;DE140139082;4 Press GmbH & Co. KG;Amtsgericht Leipzig;HRA 18665;;                                                                                                                                                                                                   
PG310;4444444444444;0                                                                                                                                                                                                                                                                                       
PG311;4444444444444;0712369;0                                                                                                                                                                                                                                                                               
PG312;4444444444444;0712369;0;VEDES Point Spielwago;;;L�tzowstr. 11;4155;Leipzig;DE                                                                                                                                                                                                                         
PG320;20240601;2400000821137;1352;7.00;PG001;;EUR;;;;00000000                                                                                                                                                                                                                                               
PG321;4193732405901;37324;3444;Familie Dr.Norden  KE;240001;5.90;4.3980;2;8.80;11.80;7.00                                                                                                                                                                                                                   
PG321;4191879702402;18797;27190;D.Welt d.Hedwig CourthsBT;240714;2.40;1.7890;5;8.95;12.00;7.00                                                                                                                                                                                                              
PG321;4191914202409;19142;27193;John Sinclair BT;242395;2.40;1.7890;3;5.37;7.20;7.00                                                                                                                                                                                                                        
PG321;4191915102401;19151;27194;Dr.Stefan Frank BT;242763;2.40;1.7890;3;5.37;7.20;7.00                                                                                                                                                                                                                      
PG321;4191915602406;19156;27195;Der Bergdoktor BT;242236;2.40;1.7890;4;7.16;9.60;7.00                                                                                                                                                                                                                       
PG321;4193005001700;30050;27197;R�tselm�hle BT;241851;1.70;1.2672;3;3.80;5.10;7.00                                                                                                                                                                                                                          
PG321;4194015102401;40151;27202;Lassiter 3.Auflage BT;241859;2.40;1.7890;3;5.37;7.20;7.00                                                                                                                                                                                                                   
PG321;4194016102400;40161;27203;Der Bergdoktor 2.Aufl.BT;241867;2.40;1.7890;2;3.58;4.80;7.00                                                                                                                                                                                                                
PG321;4191121202407;11212;27223;Lore-Roman BT;240185;2.40;1.7890;4;7.16;9.60;7.00                                                                                                                                                                                                                           
PG321;4191504702401;15047;27230;Silvia-Schicksal BT;240474;2.40;1.7890;3;5.37;7.20;7.00                                                                                                                                                                                                                     
PG321;4194394802404;43948;27242;F�rsten-Roman Jubil�um BT;241122;2.40;1.7890;4;7.16;9.60;7.00                                                                                                                                                                                                               
PG321;4199099504950;90995;27387;John Sinclair SB BT;241947;4.95;3.6898;2;7.38;9.90;7.00                                                                                                                                                                                                                     
PG321;4199099904958;90999;27389;Lassiter SB BT;241864;4.95;3.6898;2;7.38;9.90;7.00                                                                                                                                                                                                                          
PG321;4199100604952;91006;27392;Hedwig Courths-Mahl.SB BT;241481;4.95;3.6898;2;7.38;9.90;7.00                                                                                                                                                                                                               
PG321;4193211004953;32110;31119;D.sch�nst.Bergomane SB BT;241046;4.95;3.6898;2;7.38;9.90;7.00                                                                                                                                                                                                               
PG321;4198625506505;86255;52897;Dr.Norden SB 2.Aufl KE;240279;6.50;4.8452;2;9.69;13.00;7.00                                                                                                                                                                                                                 
PG321;4192729802501;27298;52903;Der neue Dr.Laurin KE;240128;2.50;1.8636;3;5.59;7.50;7.00                                                                                                                                                                                                                   
PG321;4196739602502;67396;52918;Toni der H�ttenwirt KE;240503;2.50;1.8636;2;3.73;5.00;7.00                                                                                                                                                                                                                  
PG321;4192347005551;23470;52965;R�ts.m.Zahl.,Buchst SB KE;240274;5.55;4.1371;2;8.27;11.10;7.00                                                                                                                                                                                                              
PG321;4190792305905;7923;52997;Pocket Der Bergpfarrer KE;240086;5.90;4.3980;2;8.80;11.80;7.00                                                                                                                                                                                                               
PG321;4198568606904;85686;53411;Julia Sommerliebe    Cora;240001;6.90;5.1434;1;5.14;6.90;7.00                                                                                                                                                                                                               
PG323;186.20;138.83                                                                                                                                                                                                                                                                                         
PG320;20240601;2400000821138;1355;7.00;PG001;;EUR;;;;00000000                                                                                                                                                                                                                                               
PG321;4196174308953;61743;879;Chip Foto Video m.DVD;240007;8.95;6.8329;2;13.67;17.90;7.00                                                                                                                                                                                                                   
PG321;4143190302953;16805;3530;GTasche Kr.Paper gro�;240001;2.95;1.9772;8;15.82;23.60;19.00                                                                                                                                                                                                                 
PG321;4193744109903;37441;3556;Amigurumi Spar-Pack;240001;9.90;7.3797;2;14.76;19.80;7.00                                                                                                                                                                                                                    
PG321;4190357402308;3574;9794;7 Tage;240023;2.30;1.7560;3;5.27;6.90;7.00                                                                                                                                                                                                                                    
PG321;4191597401694;15974;16118;FZR R�tsel Trickkiste;240061;1.69;1.2902;12;15.48;20.28;7.00                                                                                                                                                                                                                
PG321;4190180906509;1809;20231;Stern Crime;240055;6.50;4.8452;2;9.69;13.00;7.00                                                                                                                                                                                                                             
PG321;4198301202295;83012;21806;Gl�cksrevue Sp.R�tsel;240299;2.29;1.7070;3;5.12;6.87;7.00                                                                                                                                                                                                                   
PG321;4190988908903;9889;23644;Sabrina Bundle;240007;8.90;6.7207;2;13.44;17.80;7.00                                                                                                                                                                                                                         
PG321;4190254302305;2543;27178;Frau Aktuell;240023;2.30;1.7560;3;5.27;6.90;7.00                                                                                                                                                                                                                             
PG321;4199108103907;91081;27262;Wort-Suchspiel SB BT;241511;3.90;2.9071;2;5.81;7.80;7.00                                                                                                                                                                                                                    
PG321;4191065702995;10657;27431;Wort-Suche Block BT;240043;2.99;2.2288;2;4.46;5.98;7.00                                                                                                                                                                                                                     
PG321;4142693003909;26930;30109;R�ts.tot.Sud.f.zu Hause;240003;3.90;2.6140;2;5.23;7.80;19.00                                                                                                                                                                                                                
PG321;4191252707505;12527;62405;Connect;240007;7.50;5.5907;2;11.18;15.00;7.00                                                                                                                                                                                                                               
PG321;4260500163063;16306;83824;GTasche Landliebe quer;240001;1.95;1.3070;10;13.07;19.50;19.00                                                                                                                                                                                                              
PG321;4193428603802;34286;758;R�ts.tot.Pocket Spa�;240004;3.80;2.8326;2;5.67;7.60;7.00                                                                                                                                                                                                                      
PG321;4193610003953;20139;3532;MB Malbuch Bauernhof;240001;3.95;2.9444;2;5.89;7.90;7.00                                                                                                                                                                                                                     
PG321;4190770802303;7708;20206;Das Neue;240023;2.30;1.7560;7;12.29;16.10;7.00                                                                                                                                                                                                                               
PG321;4198136201692;81362;20397;FZR Profi R�tsel;240451;1.69;1.2598;9;11.34;15.21;7.00                                                                                                                                                                                                                      
PG321;4190190005506;1900;23639;Anna;240007;5.50;4.1121;2;8.22;11.00;7.00                                                                                                                                                                                                                                    
PG321;4198530205500;85302;25500;Sabrina;240007;5.50;4.1533;2;8.31;11.00;7.00                                                                                                                                                                                                                                
PG321;4190677502306;6775;27186;Die Aktuelle;240023;2.30;1.7560;3;5.27;6.90;7.00                                                                                                                                                                                                                             
PG321;4193005201605;30052;27198;Wort-Suchspiel BT;242152;1.60;1.1927;3;3.58;4.80;7.00                                                                                                                                                                                                                       
PG321;4198137401800;81374;27378;Bild,Funk Spezial R�tsel;240004;1.80;1.3418;2;2.68;3.60;7.00                                                                                                                                                                                                                
PG321;4195069812001;50698;53359;brand eins;240006;12.00;8.9450;2;17.89;24.00;7.00                                                                                                                                                                                                                           
PG321;9783868484021;48402;87581;Maulwurf Buchst.SWW;240001;7.95;5.9261;1;5.93;7.95;7.00                                                                                                                                                                                                                     
PG322;254.29;191.22;7.00                                                                                                                                                                                                                                                                                    
PG322;50.90;34.12;19.00                                                                                                                                                                                                                                                                                     
PG323;305.19;225.34                                                                                                                                                                                                                                                                                         
PG320;20240601;2400000821139;1362;7.00;PG001;;EUR;;;;00000000                                                                                                                                                                                                                                               
PG321;4190190702306;1907;27177;Das goldene Blatt;240023;2.30;1.7560;3;5.27;6.90;7.00                                                                                                                                                                                                                        
PG321;4193489604909;34896;11061;Die TAZ Wochentaz;240022;4.90;3.6526;1;3.65;4.90;7.00                                                                                                                                                                                                                       
PG321;4194109801708;41098;57042;Dresdner Mopo am We;240022;1.70;1.3239;3;3.97;5.10;7.00                                                                                                                                                                                                                     
PG321;4190349905206;3499;51372;FAS So.;240022;5.20;3.9700;1;3.97;5.20;7.00                                                                                                                                                                                                                                  
PG321;4190295403900;2954;51371;FAZ 6-Sa;240022;3.90;2.9436;2;5.89;7.80;7.00                                                                                                                                                                                                                                 
PG321;4198625902604;86259;51105;Junge Welt        Sa;240022;2.60;1.9850;2;3.97;5.20;7.00                                                                                                                                                                                                                    
PG321;4194318402505;43184;57594;LVZ City 6-Sa;240022;2.50;1.9393;15;29.09;37.50;7.00                                                                                                                                                                                                                        
PG321;4190943802109;9438;80114;MZ Halle 6-Sa;240022;2.10;1.6031;2;3.21;4.20;7.00                                                                                                                                                                                                                            
PG321;4190940501104;9405;57035;Bild Sachsen 6-Sa Lpzg.;240022;1.10;0.8398;17;14.28;18.70;7.00                                                                                                                                                                                                               
PG323;95.50;73.30                                                                                                                                                                                                                                                                                           
PG320;20240603;2400000821140;1364;7.00;PG001;;EUR;;;;00000000                                                                                                                                                                                                                                               
PG321;4194109801203;41098;57037;Dresdner Mopo 1-Mo;240023;1.20;0.9345;2;1.87;2.40;7.00                                                                                                                                                                                                                      
PG321;4190295403702;2954;51366;FAZ 1-Mo;240023;3.70;2.7926;2;5.59;7.40;7.00                                                                                                                                                                                                                                 
PG321;4190253103507;2531;51569;Handelsblatt      Mo;240023;3.50;2.6090;1;2.61;3.50;7.00                                                                                                                                                                                                                     
PG321;4198625902109;86259;51100;Junge Welt        Mo;240023;2.10;1.6033;1;1.60;2.10;7.00                                                                                                                                                                                                                    
PG321;4190136703800;1367;51376;Kicker Montag;240023;3.80;2.8653;2;5.73;7.60;7.00                                                                                                                                                                                                                            
PG321;4194318402208;43184;57589;LVZ City 1-Mo;240023;2.20;1.7065;10;17.07;22.00;7.00                                                                                                                                                                                                                        
PG321;4190943801904;9438;80109;MZ Halle 1-Mo;240023;1.90;1.4504;1;1.45;1.90;7.00                                                                                                                                                                                                                            
PG321;4190940501104;9405;57030;Bild Sachsen 1-Mo Lpzg.;240023;1.10;0.8398;28;23.51;30.80;7.00                                                                                                                                                                                                               
PG323;77.70;59.43                                                                                                                                                                                                                                                                                           
PG320;20240531;2400000821141;1358;19.00;PG002;;EUR;;;;00000000                                                                                                                                                                                                                                              
PG321;4143672301009;36723;3364;SB UEFA Euro 2024 100;240001;1.00;0.6703;200;134.06;200.00;19.00                                                                                                                                                                                                             
PG323;200.00;134.06                                                                                                                                                                                                                                                                                         
